Date,Open
10/02/2018,"1,192.70"
10/01/2018,"1,196.10"
09/28/2018,"1,186.80"
09/27/2018,"1,198.90"
09/26/2018,"1,203.00"
09/25/2018,"1,200.20"
09/24/2018,"1,201.20"
09/21/2018,"1,209.70"
09/20/2018,"1,206.40"
09/19/2018,"1,201.50"
09/18/2018,"1,202.80"
09/17/2018,"1,198.50"
09/14/2018,"1,204.20"
09/13/2018,"1,208.90"
09/12/2018,"1,198.90"
09/11/2018,"1,198.70"
09/10/2018,"1,198.80"
09/07/2018,"1,202.80"
09/06/2018,"1,207.60"
09/05/2018,"1,196.10"
09/04/2018,"1,201.80"
09/03/2018,"1,207.00"
08/31/2018,"1,202.70"
08/30/2018,"1,202.50"
08/29/2018,"1,202.20"
08/28/2018,"1,212.80"
08/27/2018,"1,209.20"
08/24/2018,"1,187.10"
08/23/2018,"1,198.00"
08/22/2018,"1,198.70"
08/21/2018,"1,193.00"
08/20/2018,"1,185.50"
08/17/2018,"1,177.50"
08/16/2018,"1,178.10"
08/15/2018,"1,196.80"
08/14/2018,"1,196.30"
08/13/2018,"1,214.20"
08/10/2018,"1,215.30"
08/09/2018,"1,217.10"
08/08/2018,"1,214.10"
08/07/2018,"1,211.00"
08/06/2018,"1,216.70"
08/03/2018,"1,211.80"
08/02/2018,"1,219.40"
08/01/2018,"1,228.20"
07/31/2018,"1,224.90"
07/30/2018,"1,226.50"
07/27/2018,"1,225.80"
07/26/2018,"1,234.60"
07/25/2018,"1,227.20"
07/24/2018,"1,227.30"
07/23/2018,"1,234.20"
07/20/2018,"1,226.70"
07/19/2018,"1,228.90"
07/18/2018,"1,229.60"
07/17/2018,"1,243.20"
07/16/2018,"1,245.20"
07/13/2018,"1,248.90"
07/12/2018,"1,244.70"
07/11/2018,"1,254.10"
07/10/2018,"1,261.60"
07/09/2018,"1,260.40"
07/06/2018,"1,261.50"
07/05/2018,"1,257.80"
07/04/2018,"1,257.70"
07/03/2018,"1,244.90"
07/02/2018,"1,256.00"
06/29/2018,"1,257.30"
06/28/2018,"1,253.80"
06/27/2018,"1,260.50"
06/26/2018,"1,267.30"
06/25/2018,"1,272.20"
06/22/2018,"1,268.60"
06/21/2018,"1,269.70"
06/20/2018,"1,277.30"
06/19/2018,"1,280.70"
06/18/2018,"1,281.10"
06/15/2018,"1,305.90"
06/14/2018,"1,303.10"
06/13/2018,"1,299.60"
06/12/2018,"1,304.50"
06/11/2018,"1,303.50"
06/08/2018,"1,301.30"
06/07/2018,"1,300.90"
06/06/2018,"1,300.60"
06/05/2018,"1,296.40"
06/04/2018,"1,296.70"
06/01/2018,"1,303.00"
05/31/2018,"1,306.00"
05/30/2018,"1,303.10"
05/29/2018,"1,302.80"
05/28/2018,"1,297.20"
05/25/2018,"1,307.10"
05/24/2018,"1,296.10"
05/23/2018,"1,294.40"
05/22/2018,"1,294.50"
05/21/2018,"1,293.90"
05/18/2018,"1,292.60"
05/17/2018,"1,293.10"
05/16/2018,"1,295.00"
05/15/2018,"1,316.90"
05/14/2018,"1,322.50"
05/11/2018,"1,324.60"
05/10/2018,"1,316.40"
05/09/2018,"1,318.10"
05/08/2018,"1,316.70"
05/07/2018,"1,323.00"
05/04/2018,"1,316.50"
05/03/2018,"1,313.00"
05/02/2018,"1,313.30"
05/01/2018,"1,311.00"
04/30/2018,"1,322.30"
04/27/2018,"1,326.50"
04/26/2018,"1,324.20"
04/25/2018,"1,332.00"
04/24/2018,"1,326.10"
04/23/2018,"1,336.20"
04/20/2018,"1,348.50"
04/19/2018,"1,352.40"
04/18/2018,"1,350.40"
04/17/2018,"1,349.10"
04/16/2018,"1,349.80"
04/13/2018,"1,337.60"
04/12/2018,"1,356.30"
04/11/2018,"1,343.10"
04/10/2018,"1,339.80"
04/09/2018,"1,338.00"
04/06/2018,"1,329.70"
04/05/2018,"1,337.10"
04/04/2018,"1,336.70"
04/03/2018,"1,345.00"
04/02/2018,"1,330.70"
03/29/2018,"1,329.30"
03/28/2018,"1,351.10"
03/27/2018,"1,355.20"
03/26/2018,"1,350.90"
03/23/2018,"1,332.00"
03/22/2018,"1,334.20"
03/21/2018,"1,313.90"
03/20/2018,"1,319.40"
03/19/2018,"1,315.80"
03/16/2018,"1,318.80"
03/15/2018,"1,328.30"
03/14/2018,"1,329.40"
03/13/2018,"1,328.50"
03/12/2018,"1,326.90"
03/09/2018,"1,322.00"
03/08/2018,"1,328.90"
03/07/2018,"1,344.00"
03/06/2018,"1,326.00"
03/05/2018,"1,330.50"
03/02/2018,"1,320.60"
03/01/2018,"1,311.80"
02/28/2018,"1,323.80"
02/27/2018,"1,321.40"
02/26/2018,"1,330.40"
02/23/2018,"1,333.70"
02/22/2018,"1,326.20"
02/21/2018,"1,331.20"
02/20/2018,"1,350.20"
02/19/2018,"1,350.20"
02/16/2018,"1,356.60"
02/15/2018,"1,353.00"
02/14/2018,"1,331.90"
02/13/2018,"1,325.00"
02/12/2018,"1,317.10"
02/09/2018,"1,321.00"
02/08/2018,"1,320.70"
02/07/2018,"1,326.60"
02/06/2018,"1,343.10"
02/05/2018,"1,334.60"
02/02/2018,"1,352.20"
02/01/2018,"1,348.20"
01/31/2018,"1,341.80"
01/30/2018,"1,344.00"
01/29/2018,"1,351.60"
01/26/2018,"1,348.70"
01/25/2018,"1,359.60"
01/24/2018,"1,343.00"
01/23/2018,"1,335.20"
01/22/2018,"1,337.40"
01/19/2018,"1,329.80"
01/18/2018,"1,330.40"
01/17/2018,"1,341.80"
01/16/2018,"1,339.20"
01/15/2018,"1,337.30"
01/12/2018,"1,325.10"
01/11/2018,"1,320.60"
01/10/2018,"1,315.00"
01/09/2018,"1,321.00"
01/08/2018,"1,323.80"
01/05/2018,"1,324.30"
01/04/2018,"1,316.90"
01/03/2018,"1,322.00"
01/02/2018,"1,311.00"
12/29/2017,"1,307.20"
12/28/2017,"1,299.50"
12/27/2017,"1,287.80"
12/26/2017,"1,279.00"
12/22/2017,"1,270.30"
12/21/2017,"1,268.80"
