Date,Open
2014-02-04,18.066071
2014-02-05,18.091429
2014-02-06,18.216429
2014-02-07,18.620714
2014-02-10,18.523571
2014-02-11,18.950357
2014-02-12,19.176786
2014-02-13,19.094999
2014-02-14,19.373928
2014-02-18,19.5
2014-02-19,19.455357
2014-02-20,19.035357
2014-02-21,19.028214
2014-02-24,18.683929
2014-02-25,18.906429
2014-02-26,18.700357
2014-02-27,18.469286
2014-02-28,18.895714
2014-03-03,18.693571
2014-03-04,18.964287
2014-03-05,18.96143
2014-03-06,19.028214
2014-03-07,18.967501
2014-03-10,18.870001
2014-03-11,19.123215
2014-03-12,19.089643
2014-03-13,19.194286
2014-03-14,18.885357
2014-03-17,18.84643
2014-03-18,18.782143
2014-03-19,19.009287
2014-03-20,18.924643
2014-03-21,18.997499
2014-03-24,19.229286
2014-03-25,19.339287
2014-03-26,19.518572
2014-03-27,19.286428
2014-03-28,19.225714
2014-03-31,19.258215
2014-04-01,19.205713
2014-04-02,19.370714
2014-04-03,19.335358
2014-04-04,19.278929
2014-04-07,18.857857
2014-04-08,18.756786
2014-04-09,18.665714
2014-04-10,18.952856
2014-04-11,18.535713
2014-04-14,18.639286
2014-04-15,18.581072
2014-04-16,18.501785
2014-04-17,18.571428
2014-04-21,18.762142
2014-04-22,18.868214
2014-04-23,18.895
2014-04-24,20.293215
2014-04-25,20.161785
2014-04-28,20.457144
2014-04-29,21.205
2014-04-30,21.165714
2014-05-01,21.142857
2014-05-02,21.155001
2014-05-05,21.076429
2014-05-06,21.492857
2014-05-07,21.258928
2014-05-08,21.008928
2014-05-09,20.876429
2014-05-12,20.981787
2014-05-13,21.142857
2014-05-14,21.158215
2014-05-15,21.239286
2014-05-16,21.022499
2014-05-19,21.351786
2014-05-20,21.589643
2014-05-21,21.565357
2014-05-22,21.664286
2014-05-23,21.6875
2014-05-27,21.995714
2014-05-28,22.357857
2014-05-29,22.423214
2014-05-30,22.785
2014-06-02,22.64143
2014-06-03,22.445
2014-06-04,22.765715
2014-06-05,23.078571
2014-06-06,23.210714
2014-06-09,23.174999
2014-06-10,23.682501
2014-06-11,23.532499
2014-06-12,23.51
2014-06-13,23.049999
2014-06-16,22.877501
2014-06-17,23.077499
2014-06-18,23.067499
2014-06-19,23.0725
2014-06-20,22.9625
2014-06-23,22.83
2014-06-24,22.6875
2014-06-25,22.5525
2014-06-26,22.592501
2014-06-27,22.705
2014-06-30,23.025
2014-07-01,23.379999
2014-07-02,23.467501
2014-07-03,23.4175
2014-07-07,23.535
2014-07-08,24.067499
2014-07-09,23.860001
2014-07-10,23.440001
2014-07-11,23.84
2014-07-14,23.965
2014-07-15,24.200001
2014-07-16,24.2425
2014-07-17,23.7575
2014-07-18,23.405001
2014-07-21,23.747499
2014-07-22,23.67
2014-07-23,23.855
2014-07-24,24.26
2014-07-25,24.2125
2014-07-28,24.455
2014-07-29,24.8325
2014-07-30,24.610001
2014-07-31,24.290001
2014-08-01,23.725
2014-08-04,24.092501
2014-08-05,23.84
2014-08-06,23.6875
2014-08-07,23.7325
2014-08-08,23.565001
2014-08-11,23.817499
2014-08-12,24.01
2014-08-13,24.0375
2014-08-14,24.3325
2014-08-15,24.475
2014-08-18,24.622499
2014-08-19,24.852501
2014-08-20,25.110001
2014-08-21,25.1425
2014-08-22,25.0725
2014-08-25,25.4475
2014-08-26,25.355
2014-08-27,25.254999
2014-08-28,25.397499
2014-08-29,25.715
2014-09-02,25.764999
2014-09-03,25.775
2014-09-04,24.7125
2014-09-05,24.700001
2014-09-08,24.825001
2014-09-09,24.77
2014-09-10,24.502501
2014-09-11,25.102501
2014-09-12,25.3025
2014-09-15,25.702499
2014-09-16,24.950001
2014-09-17,25.317499
2014-09-18,25.4825
2014-09-19,25.5725
2014-09-22,25.450001
2014-09-23,25.15
2014-09-24,25.540001
2014-09-25,25.127501
2014-09-26,24.6325
2014-09-29,24.6625
2014-09-30,25.202499
2014-10-01,25.147499
2014-10-02,24.817499
2014-10-03,24.860001
2014-10-06,24.987499
2014-10-07,24.8575
2014-10-08,24.690001
2014-10-09,25.385
2014-10-10,25.172501
2014-10-13,25.3325
2014-10-14,25.0975
2014-10-15,24.4925
2014-10-16,23.887501
2014-10-17,24.375
2014-10-20,24.58
2014-10-21,25.754999
2014-10-22,25.709999
2014-10-23,26.02
2014-10-24,26.295
2014-10-27,26.2125
2014-10-28,26.35
2014-10-29,26.6625
2014-10-30,26.74
2014-10-31,27.002501
2014-11-03,27.055
2014-11-04,27.34
2014-11-05,27.275
2014-11-06,27.15
2014-11-07,27.1875
2014-11-10,27.254999
2014-11-11,27.174999
2014-11-12,27.344999
2014-11-13,27.950001
2014-11-14,28.2875
2014-11-17,28.567499
2014-11-18,28.485001
2014-11-19,28.860001
2014-11-20,28.727501
2014-11-21,29.377501
2014-11-24,29.2125
2014-11-25,29.7675
2014-11-26,29.485001
2014-11-28,29.817499
2014-12-01,29.702499
2014-12-02,28.375
2014-12-03,28.9375
2014-12-04,28.942499
2014-12-05,28.997499
2014-12-08,28.525
2014-12-09,27.547501
2014-12-10,28.602501
2014-12-11,28.065001
2014-12-12,27.615
2014-12-15,27.674999
2014-12-16,26.592501
2014-12-17,26.780001
2014-12-18,27.967501
2014-12-19,28.065001
2014-12-22,28.040001
2014-12-23,28.307501
2014-12-24,28.145
2014-12-26,28.025
2014-12-29,28.4475
2014-12-30,28.41
2014-12-31,28.205
2015-01-02,27.8475
2015-01-05,27.0725
2015-01-06,26.635
2015-01-07,26.799999
2015-01-08,27.307501
2015-01-09,28.1675
2015-01-12,28.15
2015-01-13,27.8575
2015-01-14,27.26
2015-01-15,27.5
2015-01-16,26.7575
2015-01-20,26.959999
2015-01-21,27.237499
2015-01-22,27.565001
2015-01-23,28.075001
2015-01-26,28.434999
2015-01-27,28.105
2015-01-28,29.407499
2015-01-29,29.08
2015-01-30,29.6
2015-02-02,29.512501
2015-02-03,29.625
2015-02-04,29.625
2015-02-05,30.004999
2015-02-06,30.004999
2015-02-09,29.637501
2015-02-10,30.0425
2015-02-11,30.692499
2015-02-12,31.514999
2015-02-13,31.82
2015-02-17,31.872499
2015-02-18,31.907499
2015-02-19,32.119999
2015-02-20,32.154999
2015-02-23,32.505001
2015-02-24,33.235001
2015-02-25,32.889999
2015-02-26,32.197498
2015-02-27,32.5
2015-03-02,32.3125
2015-03-03,32.240002
2015-03-04,32.275002
2015-03-05,32.145
2015-03-06,32.099998
2015-03-09,31.99
2015-03-10,31.602501
2015-03-11,31.1875
2015-03-12,30.577499
2015-03-13,31.1
2015-03-16,30.969999
2015-03-17,31.475
2015-03-18,31.75
2015-03-19,32.1875
2015-03-20,32.0625
2015-03-23,31.780001
2015-03-24,31.807501
2015-03-25,31.635
2015-03-26,30.690001
2015-03-27,31.1425
2015-03-30,31.012501
2015-03-31,31.522499
2015-04-01,31.205
2015-04-02,31.2575
2015-04-06,31.1175
2015-04-07,31.91
2015-04-08,31.4625
2015-04-09,31.4625
2015-04-10,31.487499
2015-04-13,32.092499
2015-04-14,31.75
2015-04-15,31.602501
2015-04-16,31.57
2015-04-17,31.387501
2015-04-20,31.3925
2015-04-21,32.025002
2015-04-22,31.747499
2015-04-23,32.075001
2015-04-24,32.622501
2015-04-27,33.077499
2015-04-28,33.615002
2015-04-29,32.540001
2015-04-30,32.16
2015-05-01,31.525
2015-05-04,32.375
2015-05-05,32.037498
2015-05-06,31.639999
2015-05-07,31.192499
2015-05-08,31.67
2015-05-11,31.8475
2015-05-12,31.4
2015-05-13,31.5375
2015-05-14,31.852501
2015-05-15,32.267502
2015-05-18,32.095001
2015-05-19,32.672501
2015-05-20,32.5
2015-05-21,32.517502
2015-05-22,32.900002
2015-05-26,33.150002
2015-05-27,32.584999
2015-05-28,32.965
2015-05-29,32.807499
2015-06-01,32.57
2015-06-02,32.465
2015-06-03,32.665001
2015-06-04,32.395
2015-06-05,32.375
2015-06-08,32.224998
2015-06-09,31.674999
2015-06-10,31.98
2015-06-11,32.294998
2015-06-12,32.047501
2015-06-15,31.525
2015-06-16,31.7575
2015-06-17,31.93
2015-06-18,31.807501
2015-06-19,31.9275
2015-06-22,31.872499
2015-06-23,31.870001
2015-06-24,31.8025
2015-06-25,32.215
2015-06-26,31.9175
2015-06-29,31.365
2015-06-30,31.3925
2015-07-01,31.725
2015-07-02,31.6075
